candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,gender,serious_criminal_cases,declared_pan,filed_itr,party_eci
Rakesh Singha,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3364,THEOG,CPI(M),2,Graduate Professional,181508484,0,181508484,61,GEN,SHIMLA,SHIMLA REGION,Male,true,true,false,Communist Party of India (Marxist)
Rakesh Verma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3067,THEOG,BJP,0,Graduate Professional,102591040,1050000,101541040,61,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Bharatiya Janata Party
Ram Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3342,DOON,INC,3,Post Graduate,408144720,13783858,394360862,52,GEN,SOLAN,SHIVALIK REGION,Male,true,true,true,Indian National Congress
Ram Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3322,HAROLI,BJP,0,Post Graduate,7685653,0,7685653,43,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Ram Lal Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3088,SRI NAINA DEVIJI,INC,0,Graduate Professional,35829952,0,35829952,49,GEN,BILASPUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Ramesh Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3159,JAWALAMUKHI,BJP,1,10th Pass,4808000,63043,4744957,12,GEN,KANGRA,BEAS RIVER REGION,Male,true,true,true,Bharatiya Janata Party
Ramesh Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3263,BAIJNATH,BSP,0,12th Pass,10030000,0,10030000,20,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Ramesh Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3457,SRI NAINA DEVIJI,IND,1,12th Pass,7603157,700000,6903157,49,GEN,BILASPUR,SHIVALIK REGION,Male,true,true,true,Independent
Ramesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3368,KASUMPTI,BSP,0,Graduate,5052000,10000,5042000,62,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Bahujan Samaj Party
Ramesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3450,DHARAMPUR,Rashtriya Azad Manch,0,10th Pass,10862524,0,10862524,32,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Rashtriya Azad Manch
Ramesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3252,SHAHPUR,IND,0,5th Pass,1717575,800000,917575,17,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Ramesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3281,DARANG,BSP,0,8th Pass,73709,50000,23709,30,GEN,MANDI,BEAS RIVER REGION,Male,false,false,false,Bahujan Samaj Party
Randhir Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3429,SRI NAINA DEVIJI,BJP,2,Post Graduate,18557732,0,18557732,49,GEN,BILASPUR,SHIVALIK REGION,Male,true,true,true,Bharatiya Janata Party
Ranjeet Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3206,NADAUN,IND,0,10th Pass,3276000,706250,2569750,40,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Independent
Ranjit Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3316,CHINTPURNI,BSP,0,Graduate,6442439,102000,6340439,41,SC,UNA,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Rasal Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3127,FATEHPUR,Lok Gathbandhan Party,0,10th Pass,1245000,0,1245000,8,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Lok Gathbandhan Party
Rattan Singh Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3460,PACHHAD,IND,0,12th Pass,26831478,1120000,25711478,55,SC,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Independent
Rattan Singh Pal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3340,ARKI,BJP,0,10th Pass,16606262,3298000,13308262,50,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Ravi Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3249,KANGRA,NCP,0,10th Pass,8428951,3900000,4528951,16,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Nationalist Congress Party
Ravi Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3062,UNA,BSP,0,8th Pass,107999,0,107999,44,GEN,UNA,BEAS RIVER REGION,Male,false,true,false,Bahujan Samaj Party
Ravi Parkash,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3314,NADAUN,BSP,1,10th Pass,10395000,7600000,2795000,40,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Bahujan Samaj Party
Ravi Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3265,LAHAUL & SPITI,INC,0,Graduate,187551060,14741772,172809288,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS,Male,false,true,true,Indian National Congress
Ravinder Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3150,JAISINGHPUR,BJP,0,Graduate,5700611,603082,5097529,13,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Ravinder Pal Singh Mann,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3323,HAROLI,IND,0,Graduate Professional,2954546,0,2954546,43,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Independent
Ravinder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3102,DEHRA,BJP,1,Graduate,16984000,4242968,12741032,10,GEN,KANGRA,BEAS RIVER REGION,Male,true,true,true,Bharatiya Janata Party
Ravinder Singh Dogra,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3079,SUJANPUR,NCP,0,12th Pass,10000,50000,-40000,37,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Nationalist Congress Party
Ravinder Singh Rana,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3112,DHARAMSHALA,IND,0,Graduate,12430000,7701000,4729000,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Reeta Devi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3145,INDORA,BJP,0,10th Pass,5830925,192146,5638779,7,SC,KANGRA,BEAS RIVER REGION,Female,false,true,true,Bharatiya Janata Party
Renuka Dogra,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3191,KULLU,Rashtriya Azad Manch,0,Graduate Professional,20990000,440200,20549800,23,GEN,KULLU,BEAS RIVER REGION,Female,false,true,true,Rashtriya Azad Manch
Rohit Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3381,JUBBAL-KOTKHAI,INC,0,Graduate,278237915,1000000,277237915,65,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Indian National Congress
Roshan Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3066,THEOG,IND,0,12th Pass,726000,100000,626000,61,GEN,SHIMLA,SHIMLA REGION,Male,false,true,false,Independent
Roshani Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3291,MANDI,IND,0,10th Pass,8410943,0,8410943,33,GEN,MANDI,BEAS RIVER REGION,Female,false,true,false,Independent
Rustam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3229,JAWALI,CPI,0,Graduate,9857819,0,9857819,9,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Communist Party of India
Saju Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3452,DHARAMPUR,IND,0,8th Pass,210000,10000,200000,32,GEN,MANDI,BEAS RIVER REGION,Male,false,false,false,Independent
Sandeep Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3194,KUTLEHAR,Swabhiman Party,0,Graduate Professional,38170000,16000000,22170000,45,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Swabhiman Party
Sanjay Chaudhary,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3250,KANGRA,BJP,0,Post Graduate,9395971,2570793,6825178,16,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Sanjay Chauhan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3372,SHIMLA,CPI(M),0,Post Graduate,15422613,0,15422613,63,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Communist Party of India (Marxist)
Sanjay Rattan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3157,JAWALAMUKHI,INC,0,Graduate Professional,16156899,2107284,14049615,12,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Sanjiv Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3295,SARKAGHAT,IND,0,Graduate Professional,1380000,250000,1130000,35,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Independent
Saroti Devi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3310,BARSAR,BSP,0,5th Pass,681000,650000,31000,39,GEN,HAMIRPUR,SHIVALIK REGION,Female,false,false,false,Bahujan Samaj Party
Sarveen,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3108,SHAHPUR,BJP,0,Post Graduate,41948982,5500000,36448982,17,GEN,KANGRA,BEAS RIVER REGION,Female,false,true,true,Bharatiya Janata Party
Satpal Singh Raizada,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3060,UNA,INC,0,10th Pass,89637432,52963667,36673765,44,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Satpal Singh Satti,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3061,UNA,BJP,0,Post Graduate,31422977,1246674,30176303,44,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Satya Prakash,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3432,NACHAN,IND,0,12th Pass,385000,0,385000,28,SC,MANDI,BEAS RIVER REGION,Male,false,true,false,Independent
Sawarn Dass,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3328,KUTLEHAR,IND,0,12th Pass,3550000,320000,3230000,45,GEN,UNA,BEAS RIVER REGION,Male,false,true,false,Independent
Sh. Bhagat Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3180,KARSOG,IND,0,Graduate,9159216,1300000,7859216,26,SC,MANDI,BEAS RIVER REGION,Male,false,true,true,Independent
Sh. Bhagwant Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3178,KARSOG,IND,0,Post Graduate,5200000,450000,4750000,26,SC,MANDI,BEAS RIVER REGION,Male,false,true,false,Independent
Sh. Hira Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3184,KARSOG,BJP,0,12th Pass,3202108,2500000,702108,26,SC,MANDI,BEAS RIVER REGION,Male,false,true,false,Bharatiya Janata Party
Sh. Mansa Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3185,KARSOG,INC,0,Graduate,18374833,10573004,7801829,26,SC,MANDI,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Sh. Mast Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3181,KARSOG,IND,0,Graduate,8209961,845000,7364961,26,SC,MANDI,BEAS RIVER REGION,Male,false,true,true,Independent
Sh. Mehar Singh Khukhaliya,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3179,KARSOG,Rashtriya Azad Manch,3,10th Pass,6560000,25000,6535000,26,SC,MANDI,BEAS RIVER REGION,Male,true,false,false,Rashtriya Azad Manch
Sh. Pawan Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3183,KARSOG,IND,0,Post Graduate,311000,0,311000,26,SC,MANDI,BEAS RIVER REGION,Male,false,false,false,Independent
Shashi Bala,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3138,ROHRU,BJP,0,Post Graduate,4374465,0,4374465,67,SC,SHIMLA,SHIMLA REGION,Female,false,true,false,Bharatiya Janata Party
Shashi Kant Chauhan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3343,SOLAN,IND,0,8th Pass,2270481,150000,2120481,53,SC,SOLAN,SHIVALIK REGION,Male,false,true,false,Independent
Shiv Hari Pal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3327,KUTLEHAR,IND,1,12th Pass,14796354,1296923,13499431,45,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Independent
Shurvir Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3387,ROHRU,BSP,0,Graduate,110000,1826000,-1716000,67,SC,SHIMLA,SHIMLA REGION,Male,false,true,false,Bahujan Samaj Party
Singhi Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3385,RAMPUR,IND,1,Graduate Professional,58522035,15041674,43480361,66,SC,SHIMLA,SHIMLA REGION,Male,false,true,true,Independent
Sita Ram Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3065,BARSAR,IND,0,12th Pass,60523951,3360600,57163351,39,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Independent
Sohan Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3068,SUNDERNAGAR,INC,0,Post Graduate,81394949,2200000,79194949,27,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Subhash Chand Shukla,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3116,DHARAMSHALA,IND,0,Graduate,16100000,0,16100000,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Subhash Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3135,GAGRET,IND,0,Graduate Professional,4156460,19700,4136760,42,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Independent
Subhash Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3084,BILASPUR,BJP,1,Post Graduate,18465397,430144,18035253,48,GEN,BILASPUR,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Sudarshan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3195,LAHAUL & SPITI,IND,0,Graduate Professional,950000,300000,650000,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS,Male,false,true,true,Independent
Sudesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3103,DEHRA,IND,0,12th Pass,4818000,0,4818000,10,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Sudhir Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3117,DHARAMSHALA,INC,0,Graduate,47713829,4800858,42912971,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Sujan Singh Pathania,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3124,FATEHPUR,INC,0,Graduate,191577529,881732,190695797,8,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Sukh Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3170,PAONTA SAHIB,BJP,1,12th Pass,22226492,2378131,19848361,58,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Sukh Ram Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3458,SRI NAINA DEVIJI,IND,0,Post Graduate,6105088,1980000,4125088,49,GEN,BILASPUR,SHIVALIK REGION,Male,false,true,false,Independent
Sukhvinder Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3315,NADAUN,INC,0,Post Graduate,50436952,9188778,41248174,40,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Sunder Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3280,SERAJ,BSP,0,8th Pass,9000,0,9000,29,GEN,MANDI,BEAS RIVER REGION,Male,false,false,false,Bahujan Samaj Party
Sunder Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3270,KULLU,INC,0,Graduate Professional,208032031,24536547,183495484,23,GEN,KULLU,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Suraj Mani,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3097,DARANG,IND,0,8th Pass,370000,0,370000,30,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Independent
Surender,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3356,PAONTA SAHIB,IND,0,8th Pass,22000,50000,-28000,58,GEN,SIRMOUR,SHIVALIK REGION,Male,false,false,false,Independent
Surender Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3448,CHURAH,INC,0,Graduate Professional,10015000,1000000,9015000,1,SC,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Surender Shourie,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3058,BANJAR,BJP,1,Graduate,2995766,747510,2248256,24,GEN,KULLU,BEAS RIVER REGION,Male,true,true,true,Bharatiya Janata Party
Suresh Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3374,SHIMLA,BJP,0,Graduate Professional,9353349,789320,8564029,63,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Bharatiya Janata Party
Suresh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3297,BHORANJ,INC,1,Post Graduate,16077000,5500000,10577000,36,SC,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Suresh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3414,PALAMPUR,IND,0,8th Pass,156233,55000,101233,19,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Suresh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3335,GHUMARWIN,IND,0,12th Pass,366000,0,366000,47,GEN,BILASPUR,SHIVALIK REGION,Male,false,true,true,Independent
Suresh Kumar Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3176,PACHHAD,BJP,0,Post Graduate,11771138,6100000,5671138,55,SC,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Suresh Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3168,RAMPUR,BSP,0,Post Graduate,116627,0,116627,66,SC,SHIMLA,SHIMLA REGION,Male,false,true,false,Bahujan Samaj Party
Surinder Singh Mankotia,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3233,JASWAN-PRAGPUR,INC,0,Post Graduate,39143084,5567992,33575092,11,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Sushil Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3144,INDORA,BSP,0,Graduate,382049,0,382049,7,SC,KANGRA,BEAS RIVER REGION,Male,false,true,false,Bahujan Samaj Party
Tejwant Singh Negi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3389,KINNAUR,BJP,0,Graduate,59004211,577930,58426281,68,ST,KINNAUR,GREATER HIMALAYAS,Male,false,true,true,Bharatiya Janata Party
Thakur Singh Bharmouri,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3217,BHARMOUR,INC,0,Graduate,65784511,1619004,64165507,2,ST,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Tilak Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3224,INDORA,IND,0,10th Pass,10581515,2402784,8178731,7,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Vijai Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3107,SHAHPUR,IND,0,Graduate,22690000,0,22690000,17,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Vijay Jyoti,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3371,KASUMPTI,BJP,0,10th Pass,70028722,1350442,68678280,62,GEN,SHIMLA,SHIMLA REGION,Female,false,true,true,Bharatiya Janata Party
Vijay Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3247,KANGRA,BSP,0,12th Pass,3776181,0,3776181,16,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Vijay Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3203,NADAUN,BJP,0,Post Graduate,18241077,971304,17269773,40,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Vijay Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3341,ARKI,Janral Samaj Party,0,Post Graduate,2360000,450000,1910000,50,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Janral Samaj Party
Vijay Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3056,ARKI,IND,0,8th Pass,8362522,266522,8096000,50,GEN,SOLAN,SHIVALIK REGION,Male,false,true,false,Independent
Vijender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3158,JAWALAMUKHI,IND,0,Graduate,39006580,6172076,32834504,12,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Vikas Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3260,DHARAMSHALA,IND,0,Post Graduate,2330723,0,2330723,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Vikramaditya Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3378,SHIMLA RURAL,INC,0,Post Graduate,843281014,55390000,787891014,64,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Indian National Congress
Vinay Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3352,SRI RENUKAJI,INC,0,10th Pass,33044987,8030702,25014285,57,SC,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Vinod Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3202,NACHAN,BJP,1,12th Pass,9174095,4411111,4762984,28,SC,MANDI,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Vinod Sultanpuri,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3186,KASAULI,INC,0,Graduate Professional,40818476,322053,40496423,54,SC,SOLAN,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Vinod Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3312,BARSAR,Lok Gathbandhan Party,0,10th Pass,235732,616620,-380888,39,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,false,Lok Gathbandhan Party
Vipan Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3230,DEHRA,BSP,0,Graduate,5253758,1030000,4223758,10,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bahujan Samaj Party
Vipin Singh Parmar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3072,SULLAH,BJP,0,Graduate Professional,14413379,0,14413379,14,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Viplove Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3232,DEHRA,INC,0,Post Graduate,15416380,0,15416380,10,GEN,KANGRA,BEAS RIVER REGION,Female,false,true,true,Indian National Congress
Virbhadra Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3055,ARKI,INC,1,Post Graduate,305215611,62524000,242691611,50,GEN,SOLAN,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Virender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3100,SHIMLA,IND,0,Graduate,2629366,795000,1834366,63,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Independent
Virender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3142,HAROLI,BSP,0,Graduate,361455,0,361455,43,GEN,UNA,BEAS RIVER REGION,Male,false,true,false,Bahujan Samaj Party
Virender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3211,NAHAN,Lok Gathbandhan Party,1,Graduate,2120000,0,2120000,56,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,false,Lok Gathbandhan Party
Virender Kumar Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3348,KASAULI,CPI,0,12th Pass,247050,0,247050,54,SC,SOLAN,SHIVALIK REGION,Male,false,true,false,Communist Party of India
Virender Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3220,DALHOUSIE,Rashtriya Azad Manch,1,12th Pass,9661000,3313847,6347153,4,GEN,CHAMBA,BEAS RIVER REGION,Male,true,true,true,Rashtriya Azad Manch
Virender Singh Kanwar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3329,KUTLEHAR,BJP,0,Graduate Professional,33821430,5923190,27898240,45,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Vishal Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3076,SULLAH,IND,0,Post Graduate,5547095,618538,4928557,14,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Vishwanath,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3210,NAHAN,CPI(M),0,Post Graduate,4650033,2400000,2250033,56,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Communist Party of India (Marxist)
Vivek Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3167,RAMPUR,CPI(M),2,12th Pass,1522500,27000,1495500,66,SC,SHIMLA,SHIMLA REGION,Male,true,true,false,Communist Party of India (Marxist)
Vivek Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3330,KUTLEHAR,INC,0,Graduate,13426556,5770135,7656421,45,GEN,UNA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Yadvinder Goma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3240,JAISINGHPUR,INC,0,Post Graduate,11950000,2800000,9150000,13,SC,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress