candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets,gender,ac_no,reservations,district,sub_region
Anita Alias Nitu,KARSOG,IND,1,12th Pass,9755000,95000,9660000,Female,26,SC,MANDI,BEAS RIVER REGION
Asha Kumari,DALHOUSIE,INC,1,Graduate,45310570,6066090,39244480,Female,4,GEN,CHAMBA,BEAS RIVER REGION
Champa Thakur,MANDI,INC,0,Post Graduate,17761708,2383329,15378379,Female,33,GEN,MANDI,BEAS RIVER REGION
Indu Bala,PALAMPUR,BJP,0,Graduate,8297494,425500,7871994,Female,19,GEN,KANGRA,BEAS RIVER REGION
Kamlesh Kumari,BHORANJ,BJP,0,10th Pass,2919207,800000,2119207,Female,36,SC,HAMIRPUR,SHIVALIK REGION
Kumari Vandna,SULLAH,IND,0,Post Graduate,605375,0,605375,Female,14,GEN,KANGRA,BEAS RIVER REGION
Manjana Devi,JAWALI,BSP,0,12th Pass,175014,100000,75014,Female,9,GEN,KANGRA,BEAS RIVER REGION
Meena Kumari,PAONTA SAHIB,Lok Gathbandhan Party,0,Post Graduate,1706761,0,1706761,Female,58,GEN,SIRMOUR,SHIVALIK REGION
Nisha Katoch,DHARAMSHALA,Swabhiman Party,0,Graduate Professional,6916414,2200000,4716414,Female,18,GEN,KANGRA,BEAS RIVER REGION
Paro Devi,SARKAGHAT,Lok Gathbandhan Party,0,Graduate Professional,3953000,9300000,-5347000,Female,35,GEN,MANDI,BEAS RIVER REGION
Pinki Devi,NAGROTA,BSP,0,5th Pass,10290000,0,10290000,Female,15,GEN,KANGRA,BEAS RIVER REGION
Reeta Devi,INDORA,BJP,0,10th Pass,5830925,192146,5638779,Female,7,SC,KANGRA,BEAS RIVER REGION
Renuka Dogra,KULLU,Rashtriya Azad Manch,0,Graduate Professional,20990000,440200,20549800,Female,23,GEN,KULLU,BEAS RIVER REGION
Roshani Sharma,MANDI,IND,0,10th Pass,8410943,0,8410943,Female,33,GEN,MANDI,BEAS RIVER REGION
Saroti Devi,BARSAR,BSP,0,5th Pass,681000,650000,31000,Female,39,GEN,HAMIRPUR,SHIVALIK REGION
Sarveen,SHAHPUR,BJP,0,Post Graduate,41948982,5500000,36448982,Female,17,GEN,KANGRA,BEAS RIVER REGION
Shashi Bala,ROHRU,BJP,0,Post Graduate,4374465,0,4374465,Female,67,SC,SHIMLA,SHIMLA REGION
Vijay Jyoti,KASUMPTI,BJP,0,10th Pass,70028722,1350442,68678280,Female,62,GEN,SHIMLA,SHIMLA REGION
Viplove Thakur,DEHRA,INC,0,Post Graduate,15416380,0,15416380,Female,10,GEN,KANGRA,BEAS RIVER REGION